raw: 温格的球队终于又踢了一场经典的比赛，2比1战胜曼联之后枪手仍然留在了夺冠集团之内，
sen pred gold
a O O
c O O
e O O
） O O
， O O
描 O O
述 O O
德 B-gov O
军 I-gov O
虎 O O
式 O O
战 O O
车 O O
部 O O
队 O O
的 O O
王 O O
牌 O O
车 B-pos B-pos
长 I-pos I-pos
[UNK] B-nam B-nam
卫 I-nam I-nam
特 I-nam I-nam
曼 I-nam I-nam
[UNK] I-nam I-nam
成 O O
功 O O
阻 O O
止 O O
英 B-gov B-gov
军 I-gov I-gov
推 O O
进 O O
的 O O
精 O O
彩 O O
战 O O
役 O O
。 O O


raw: 买下。曾出品《活死人黎明》(DawnoftheDead)和《人类之子》(
sen pred gold
买 O O
下 O O
。 O O
曾 O O
出 O O
品 O O
《 B-mov B-mov
活 I-mov I-mov
死 I-mov I-mov
人 I-mov I-mov
黎 I-mov I-mov
明 I-mov I-mov
》 I-mov I-mov
( O B-mov
d B-mov I-mov
a I-mov I-mov
w I-mov I-mov
n I-mov I-mov
o I-mov I-mov
f I-mov I-mov
t I-mov I-mov
h I-mov I-mov
e I-mov I-mov
d I-mov I-mov
e I-mov I-mov
a I-mov I-mov
d I-mov I-mov
) O I-mov
和 O O
《 B-mov B-mov
人 I-mov I-mov
类 I-mov I-mov
之 I-mov I-mov
子 I-mov I-mov
》 I-mov I-mov
( O O


raw: 有利于和金融街形成良好的商务联系和互动发展。特别是金泰集团在这个区域的已开发了一些房地产项目，
sen pred gold
有 O O
利 O O
于 O O
和 O O
金 B-add O
融 I-add O
街 I-add O
形 O O
成 O O
良 O O
好 O O
的 O O
商 O O
务 O O
联 O O
系 O O
和 O O
互 O O
动 O O
发 O O
展 O O
。 O O
特 O O
别 O O
是 O O
金 B-com B-com
泰 I-com I-com
集 I-com I-com
团 I-com I-com
在 O O
这 O O
个 O O
区 O O
域 O O
的 O O
已 O O
开 O O
发 O O
了 O O
一 O O
些 O O
房 O O
地 O O
产 O O
项 O O
目 O O
， O O


raw: 西江千户苗寨可谓黔东南州旅行的主要目的地，贵阳到西江车程较远，不建议参加当天往返的一日游，
sen pred gold
西 B-sce B-sce
江 I-sce I-sce
千 I-sce I-sce
户 I-sce I-sce
苗 I-sce I-sce
寨 I-sce I-sce
可 O O
谓 O O
黔 B-add B-add
东 I-add I-add
南 I-add I-add
州 I-add I-add
旅 O O
行 O O
的 O O
主 O O
要 O O
目 O O
的 O O
地 O O
， O O
贵 B-add B-add
阳 I-add I-add
到 O O
西 B-add B-sce
江 I-add I-sce
车 O O
程 O O
较 O O
远 O O
， O O
不 O O
建 O O
议 O O
参 O O
加 O O
当 O O
天 O O
往 O O
返 O O
的 O O
一 O O
日 O O
游 O O
， O O


raw: 据一审法院认定的内容，2012年1月9日，雪山公司甲方与泰和友联公司乙方签订《
sen pred gold
据 O O
一 B-gov O
审 I-gov O
法 I-gov O
院 I-gov O
认 O O
定 O O
的 O O
内 O O
容 O O
， O O
2 O O
0 O O
1 O O
2 O O
年 O O
1 O O
月 O O
9 O O
日 O O
， O O
雪 B-com B-com
山 I-com I-com
公 I-com I-com
司 I-com I-com
甲 O O
方 O O
与 O O
泰 B-com B-com
和 I-com I-com
友 I-com I-com
联 I-com I-com
公 I-com I-com
司 I-com I-com
乙 O O
方 O O
签 O O
订 O O
《 O O


raw: WCG组委会当然不会轻易就排除暴雪的游戏，
sen pred gold
w B-gam B-gov
c I-gam I-gov
g I-gam I-gov
组 O I-gov
委 O I-gov
会 O I-gov
当 O O
然 O O
不 O O
会 O O
轻 O O
易 O O
就 O O
排 O O
除 O O
暴 B-com B-com
雪 I-com I-com
的 O O
游 O O
戏 O O
， O O


raw: 事实也的确如此。每一季，佳士得都会特地为中国市场推出一系列十九世纪的钟表。不足为奇的是，
sen pred gold
事 O O
实 O O
也 O O
的 O O
确 O O
如 O O
此 O O
。 O O
每 O O
一 O O
季 O O
， O O
佳 B-com B-com
士 I-com I-com
得 I-com O
都 O O
会 O O
特 O O
地 O O
为 O O
中 O O
国 O O
市 O O
场 O O
推 O O
出 O O
一 O O
系 O O
列 O O
十 O O
九 O O
世 O O
纪 O O
的 O O
钟 O O
表 O O
。 O O
不 O O
足 O O
为 O O
奇 O O
的 O O
是 O O
， O O


raw: 你就会想要收藏全套，日本、韩国的收藏家都经历了这个过程，中国可能才刚刚开始。
sen pred gold
你 O O
就 O O
会 O O
想 O O
要 O O
收 O O
藏 O O
全 O O
套 O O
， O O
日 O B-add
本 O I-add
、 O O
韩 O B-add
国 O I-add
的 O O
收 B-pos B-pos
藏 I-pos I-pos
家 I-pos I-pos
都 O O
经 O O
历 O O
了 O O
这 O O
个 O O
过 O O
程 O O
， O O
中 O B-add
国 O I-add
可 O O
能 O O
才 O O
刚 O O
刚 O O
开 O O
始 O O
。 O O


raw: 再次找到北京体彩中心，但后者以计算机系统和其他省市不同为由再次拒绝补足奖金。于是，
sen pred gold
再 O O
次 O O
找 O O
到 O O
北 B-org B-add
京 I-org I-add
体 I-org I-add
彩 I-org I-add
中 I-org I-add
心 I-org I-add
， O O
但 O O
后 O O
者 O O
以 O O
计 O O
算 O O
机 O O
系 O O
统 O O
和 O O
其 O O
他 O O
省 O O
市 O O
不 O O
同 O O
为 O O
由 O O
再 O O
次 O O
拒 O O
绝 O O
补 O O
足 O O
奖 O O
金 O O
。 O O
于 O O
是 O O
， O O


raw: 然后不知不觉下午就过去了，小胖子彻底迷上了让人血液沸腾的体育运动。我相信“大软”的读者中，
sen pred gold
然 O O
后 O O
不 O O
知 O O
不 O O
觉 O O
下 O O
午 O O
就 O O
过 O O
去 O O
了 O O
， O O
小 O O
胖 O O
子 O O
彻 O O
底 O O
迷 O O
上 O O
了 O O
让 O O
人 O O
血 O O
液 O O
沸 O O
腾 O O
的 O O
体 O O
育 O O
运 O O
动 O O
。 O O
我 O O
相 O O
信 O O
[UNK] O O
大 O B-boo
软 O I-boo
[UNK] O O
的 O O
读 O O
者 O O
中 O O
， O O


raw: 价格一直飙升。据了解，中国特级玉雕大师李博生，耗时两年雕琢的翡翠作品《携子上朝》玉玺，因作品材质“
sen pred gold
价 O O
格 O O
一 O O
直 O O
飙 O O
升 O O
。 O O
据 O O
了 O O
解 O O
， O O
中 O B-pos
国 O I-pos
特 B-pos I-pos
级 I-pos I-pos
玉 B-pos I-pos
雕 I-pos I-pos
大 I-pos I-pos
师 I-pos I-pos
李 B-nam B-nam
博 I-nam I-nam
生 I-nam I-nam
， O O
耗 O O
时 O O
两 O O
年 O O
雕 O O
琢 O O
的 O O
翡 O O
翠 O O
作 O O
品 O O
《 B-boo B-boo
携 I-boo I-boo
子 I-boo I-boo
上 I-boo I-boo
朝 I-boo I-boo
》 I-boo I-boo
玉 O O
玺 O O
， O O
因 O O
作 O O
品 O O
材 O O
质 O O
[UNK] O O


raw: 涛哥”，2010年国内人气最高的DotA解说海涛也在本次游戏春晚尽情耍宝。
sen pred gold
涛 O O
哥 O O
[UNK] O O
， O O
2 O O
0 O O
1 O O
0 O O
年 O O
国 O O
内 O O
人 O O
气 O O
最 O O
高 O O
的 O O
d B-gam B-gam
o I-gam I-gam
t I-gam I-gam
a I-gam I-gam
解 B-pos O
说 I-pos O
海 B-nam B-nam
涛 I-nam I-nam
也 O O
在 O O
本 O O
次 O O
游 O O
戏 O O
春 O O
晚 O O
尽 O O
情 O O
耍 O O
宝 O O
。 O O


raw: 新浪乐居北京地区客户总监叶晴
sen pred gold
新 B-com B-com
浪 I-com I-com
乐 I-com I-com
居 I-com I-com
北 B-add B-add
京 I-add I-add
地 O I-add
区 O I-add
客 B-pos B-pos
户 I-pos I-pos
总 I-pos I-pos
监 I-pos I-pos
叶 B-nam B-nam
晴 I-nam I-nam


raw: 如果说中环是香港最高档的地方，那么，置地广场就是中环最高档的商场，这里与其周边的历山大厦
sen pred gold
如 O O
果 O O
说 O O
中 B-add B-add
环 I-add I-add
是 O O
香 B-add B-add
港 I-add I-add
最 O O
高 O O
档 O O
的 O O
地 O O
方 O O
， O O
那 O O
么 O O
， O O
置 B-add B-add
地 I-add I-add
广 I-add I-add
场 I-add I-add
就 O O
是 O O
中 B-add B-add
环 I-add I-add
最 O O
高 O O
档 O O
的 O O
商 O O
场 O O
， O O
这 O O
里 O O
与 O O
其 O O
周 O O
边 O O
的 O O
历 B-sce B-add
山 I-sce I-add
大 I-sce I-add
厦 I-sce I-add


raw: 登别位于北海道的西南部，与北海道著名的工业城市室兰市、
sen pred gold
登 B-add O
别 I-add O
位 O O
于 O O
北 B-add B-add
海 I-add I-add
道 I-add I-add
的 I-add I-add
西 I-add I-add
南 I-add I-add
部 I-add I-add
， O O
与 O O
北 B-add B-add
海 I-add I-add
道 I-add I-add
著 O O
名 O O
的 O O
工 O O
业 O O
城 O O
市 O O
室 B-add B-add
兰 I-add I-add
市 I-add I-add
、 O O


raw: “保险行业协会的决议持续实施的可能性不大。”前述邮储银行人士断言。
sen pred gold
[UNK] O O
保 B-org O
险 I-org O
行 I-org O
业 I-org O
协 I-org O
会 I-org O
的 O O
决 O O
议 O O
持 O O
续 O O
实 O O
施 O O
的 O O
可 O O
能 O O
性 O O
不 O O
大 O O
。 O O
[UNK] O O
前 O O
述 O O
邮 B-com B-com
储 I-com I-com
银 I-com I-com
行 I-com I-com
人 O O
士 O O
断 O O
言 O O
。 O O


raw: 《异形VS铁血战士》人类战队视角视频
sen pred gold
《 B-gam B-mov
异 I-gam I-mov
形 I-gam I-mov
v I-gam I-mov
s I-gam I-mov
铁 I-gam I-mov
血 I-gam I-mov
战 I-gam I-mov
士 I-gam I-mov
》 I-gam I-mov
人 O O
类 O O
战 O O
队 O O
视 O O
角 O O
视 O O
频 O O


raw: PlayStationInformer》就紧接着公布了《古墓丽影(Tomb
sen pred gold
p B-gam O
l I-gam O
a I-gam O
y I-gam O
s I-gam O
t I-gam O
a I-gam O
t I-gam O
i I-gam O
o I-gam O
n I-gam O
i I-gam O
n I-gam O
f I-gam O
o I-gam O
r I-gam O
m I-gam O
e I-gam O
r I-gam O
》 I-gam O
就 O O
紧 O O
接 O O
着 O O
公 O O
布 O O
了 O O
《 B-gam O
古 I-gam B-gam
墓 I-gam I-gam
丽 I-gam I-gam
影 I-gam I-gam
( I-gam B-gam
t I-gam I-gam
o I-gam I-gam
m I-gam I-gam
b I-gam I-gam


raw: 招行首建小企业信贷中心
sen pred gold
招 B-com B-com
行 I-com I-com
首 O O
建 O O
小 B-com O
企 I-com O
业 I-com O
信 I-com O
贷 I-com O
中 O O
心 O O


raw: 据工行福建省分行营业部信用卡部有关工作人员解释，主要是酒店收银部门出现错误。比如，将单子打错，
sen pred gold
据 O O
工 B-com B-com
行 I-com I-com
福 I-com I-com
建 I-com I-com
省 I-com I-com
分 I-com I-com
行 I-com I-com
营 I-com O
业 I-com O
部 I-com O
信 O O
用 O O
卡 O O
部 O O
有 O O
关 O O
工 O O
作 O O
人 O O
员 O O
解 O O
释 O O
， O O
主 O O
要 O O
是 O O
酒 O O
店 O O
收 O O
银 O O
部 O O
门 O O
出 O O
现 O O
错 O O
误 O O
。 O O
比 O O
如 O O
， O O
将 O O
单 O O
子 O O
打 O O
错 O O
， O O


raw: 此罐是在一位常摆地摊的古玩商贩家里发现的，当时笔者一眼就发现它为真品，只花了1300元就收入囊中。
sen pred gold
此 O O
罐 O O
是 O O
在 O O
一 O O
位 O O
常 O O
摆 O O
地 O O
摊 O O
的 O O
古 O B-pos
玩 O I-pos
商 O I-pos
贩 O I-pos
家 O O
里 O O
发 O O
现 O O
的 O O
， O O
当 O O
时 O O
笔 O B-pos
者 O I-pos
一 O O
眼 O O
就 O O
发 O O
现 O O
它 O O
为 O O
真 O O
品 O O
， O O
只 O O
花 O O
了 O O
1 O O
3 O O
0 O O
0 O O
元 O O
就 O O
收 O O
入 O O
囊 O O
中 O O
。 O O


raw: 这所有的奇迹，并不是发生在人们所熟悉和习惯认知的“青藏高原”之一西藏，而是世界屋脊上的“甘南藏区”，
sen pred gold
这 O O
所 O O
有 O O
的 O O
奇 O O
迹 O O
， O O
并 O O
不 O O
是 O O
发 O O
生 O O
在 O O
人 O O
们 O O
所 O O
熟 O O
悉 O O
和 O O
习 O O
惯 O O
认 O O
知 O O
的 O O
[UNK] O O
青 O O
藏 O O
高 O O
原 O O
[UNK] O O
之 O O
一 O O
西 B-add B-add
藏 I-add I-add
， O O
而 O O
是 O O
世 O O
界 O O
屋 O O
脊 O O
上 O O
的 O O
[UNK] O O
甘 B-add O
南 I-add O
藏 I-add O
区 I-add O
[UNK] O O
， O O


raw: 33歙县二区星期一10月29日08:41歙县二区晨会总结星期日10月28日22:48
sen pred gold
3 O O
3 O O
歙 B-add B-add
县 I-add I-add
二 O I-add
区 O I-add
星 O O
期 O O
一 O O
1 O O
0 O O
月 O O
2 O O
9 O O
日 O O
0 O O
8 O O
: O O
4 O O
1 O O
歙 B-add B-add
县 I-add I-add
二 O I-add
区 O I-add
晨 O O
会 O O
总 O O
结 O O
星 O O
期 O O
日 O O
1 O O
0 O O
月 O O
2 O O
8 O O
日 O O
2 O O
2 O O
: O O
4 O O
8 O O


raw: 年轻的建筑师业务工作范围更加国际化，不仅仅在日本有作品，在欧洲、美国，
sen pred gold
年 O O
轻 O O
的 O O
建 B-pos B-pos
筑 I-pos I-pos
师 I-pos I-pos
业 O O
务 O O
工 O O
作 O O
范 O O
围 O O
更 O O
加 O O
国 O O
际 O O
化 O O
， O O
不 O O
仅 O O
仅 O O
在 O O
日 B-add O
本 I-add O
有 O O
作 O O
品 O O
， O O
在 O O
欧 B-add O
洲 I-add O
、 O O
美 B-add O
国 I-add O
， O O


raw: 更开阔的天地。而来自海南的新面孔、青年作者林森以《海里岸上》取得第三。
sen pred gold
更 O O
开 O O
阔 O O
的 O O
天 O O
地 O O
。 O O
而 O O
来 O O
自 O O
海 B-add B-add
南 I-add I-add
的 O O
新 O O
面 O O
孔 O O
、 O O
青 O B-pos
年 O I-pos
作 B-pos I-pos
者 I-pos I-pos
林 B-nam B-nam
森 I-nam I-nam
以 O O
《 B-boo B-boo
海 I-boo I-boo
里 I-boo I-boo
岸 I-boo I-boo
上 I-boo I-boo
》 I-boo I-boo
取 O O
得 O O
第 O O
三 O O
。 O O


raw: 这些在我们看来更像是笑话的迷信，却在世界上经久不衰。一位美国人调查了驻华盛顿的所有外国使馆的代表，
sen pred gold
这 O O
些 O O
在 O O
我 O O
们 O O
看 O O
来 O O
更 O O
像 O O
是 O O
笑 O O
话 O O
的 O O
迷 O O
信 O O
， O O
却 O O
在 O O
世 O O
界 O O
上 O O
经 O O
久 O O
不 O O
衰 O O
。 O O
一 O O
位 O O
美 O O
国 O O
人 O O
调 O O
查 O O
了 O O
驻 O O
华 B-add B-add
盛 I-add I-add
顿 I-add I-add
的 O O
所 O O
有 O O
外 B-gov O
国 I-gov O
使 I-gov O
馆 I-gov O
的 O O
代 B-pos B-pos
表 I-pos I-pos
， O O


raw: 小袁聊天时长00:38没乱整在广安这边的重百武胜商场其他建设南路广安市重百武胜商场
sen pred gold
小 O O
袁 O O
聊 O O
天 O O
时 O O
长 O O
0 O O
0 O O
: O O
3 O O
8 O O
没 O O
乱 O O
整 O O
在 O O
广 B-add B-add
安 I-add I-add
这 O O
边 O O
的 O O
重 B-add B-add
百 I-add I-add
武 I-add I-add
胜 I-add I-add
商 I-add I-add
场 I-add I-add
其 O O
他 O O
建 B-add O
设 I-add O
南 I-add O
路 I-add O
广 I-add B-add
安 I-add I-add
市 I-add I-add
重 I-add I-add
百 I-add I-add
武 I-add I-add
胜 I-add I-add
商 I-add I-add
场 I-add I-add


raw: 天津市宝坻石桥工业园区管理委员会主任王为民
sen pred gold
天 B-org B-add
津 I-org I-add
市 I-org I-add
宝 I-org I-add
[UNK] I-org I-add
石 I-org I-add
桥 I-org I-add
工 I-org I-add
业 I-org I-add
园 I-org B-org
区 I-org I-org
管 I-org I-org
理 I-org I-org
委 I-org I-org
员 I-org I-org
会 I-org I-org
主 B-pos B-pos
任 I-pos I-pos
王 B-nam B-nam
为 I-nam I-nam
民 I-nam I-nam


raw: 王涌彬中国房地产及住宅研究会人居环境委员会副主任委员兼秘书长
sen pred gold
王 B-nam B-nam
涌 I-nam I-nam
彬 I-nam I-nam
中 B-gov B-gov
国 I-gov I-gov
房 I-gov I-gov
地 I-gov I-gov
产 I-gov I-gov
及 I-gov I-gov
住 I-gov I-gov
宅 I-gov I-gov
研 I-gov I-gov
究 I-gov I-gov
会 I-gov I-gov
人 I-gov I-gov
居 I-gov I-gov
环 I-gov I-gov
境 I-gov I-gov
委 I-gov I-gov
员 I-gov I-gov
会 I-gov O
副 B-pos B-pos
主 I-pos I-pos
任 I-pos I-pos
委 I-pos I-pos
员 I-pos I-pos
兼 O O
秘 B-pos B-pos
书 I-pos I-pos
长 I-pos I-pos


raw: 鄱阳县彩民张捷（化名）日前向记者投诉称，他电话委托彩票投注站老板帮忙买彩票，
sen pred gold
鄱 B-add O
阳 I-add O
县 I-add O
彩 O O
民 O O
张 B-nam B-nam
捷 I-nam I-nam
（ O O
化 O O
名 O O
） O O
日 O O
前 O O
向 O O
记 B-pos B-pos
者 I-pos I-pos
投 O O
诉 O O
称 O O
， O O
他 O O
电 O O
话 O O
委 O O
托 O O
彩 B-org O
票 I-org O
投 I-org O
注 I-org O
站 I-org O
老 B-pos B-pos
板 I-pos I-pos
帮 O O
忙 O O
买 O O
彩 O O
票 O O
， O O


raw: 决定带着剑僮兰茵一起前往。在赶往邙山之前可学习一下战斗技巧，在城外和仙灵说话，
sen pred gold
决 O O
定 O O
带 O O
着 O O
剑 B-pos B-nam
僮 I-pos I-nam
兰 B-nam I-nam
茵 I-nam I-nam
一 O O
起 O O
前 O O
往 O O
。 O O
在 O O
赶 O O
往 O O
[UNK] B-sce B-add
山 I-sce I-add
之 O O
前 O O
可 O O
学 O O
习 O O
一 O O
下 O O
战 O O
斗 O O
技 O O
巧 O O
， O O
在 O O
城 O O
外 O O
和 O O
仙 O O
灵 O O
说 O O
话 O O
， O O


raw: 奥兰多迪士尼乐园是目前世界上最大的迪士尼乐园，有四大乐园迪士尼神奇王国、迪士尼好莱坞影城、
sen pred gold
奥 B-sce B-sce
兰 I-sce I-sce
多 I-sce I-sce
迪 I-sce I-sce
士 I-sce I-sce
尼 I-sce I-sce
乐 I-sce I-sce
园 I-sce I-sce
是 O O
目 O O
前 O O
世 O O
界 O O
上 O O
最 O O
大 O O
的 O O
迪 O B-sce
士 O I-sce
尼 O I-sce
乐 O I-sce
园 O I-sce
， O O
有 O O
四 O O
大 O O
乐 O O
园 O O
迪 B-sce B-sce
士 I-sce I-sce
尼 I-sce I-sce
神 I-sce I-sce
奇 I-sce I-sce
王 I-sce I-sce
国 I-sce I-sce
、 O O
迪 B-sce B-sce
士 I-sce I-sce
尼 I-sce I-sce
好 I-sce I-sce
莱 I-sce I-sce
坞 I-sce I-sce
影 I-sce I-sce
城 I-sce I-sce
、 O O


raw: 而南半部是hakipuu山谷，以及拥有800年历史的古代夏威夷鱼塘和神秘岛。
sen pred gold
而 O O
南 O O
半 O O
部 O O
是 O O
h B-sce B-sce
a I-sce I-sce
k I-sce I-sce
i I-sce I-sce
p I-sce I-sce
u I-sce I-sce
u I-sce I-sce
山 I-sce I-sce
谷 I-sce I-sce
， O O
以 O O
及 O O
拥 O O
有 O O
8 O O
0 O O
0 O O
年 O O
历 O O
史 O O
的 O O
古 B-sce O
代 I-sce O
夏 B-sce B-sce
威 I-sce I-sce
夷 I-sce I-sce
鱼 I-sce I-sce
塘 I-sce I-sce
和 O O
神 B-sce B-sce
秘 I-sce I-sce
岛 I-sce I-sce
。 O O


raw: 安徒生孤本童话手稿月底将被拍卖
sen pred gold
安 B-nam B-boo
徒 I-nam I-boo
生 I-nam I-boo
孤 O I-boo
本 O I-boo
童 O I-boo
话 O I-boo
手 O O
稿 O O
月 O O
底 O O
将 O O
被 O O
拍 O O
卖 O O


raw: 2008年11月22日，北京的气温陡降到零下4度，但雍和宫星光现场里“beijing
sen pred gold
2 O O
0 O O
0 O O
8 O O
年 O O
1 O O
1 O O
月 O O
2 O O
2 O O
日 O O
， O O
北 B-add B-add
京 I-add I-add
的 O O
气 O O
温 O O
陡 O O
降 O O
到 O O
零 O O
下 O O
4 O O
度 O O
， O O
但 O O
雍 B-add B-sce
和 I-add I-sce
宫 I-add I-sce
星 I-add O
光 I-add O
现 I-add O
场 I-add O
里 O O
[UNK] O O
b O O
e O O
i O O
j O O
i O O
n O O
g O O


raw: SPL10-11总决赛现场世纪广场示意图
sen pred gold
s B-org B-org
p I-org I-org
l I-org I-org
1 O I-org
0 O I-org
- O I-org
1 O I-org
1 O I-org
总 O I-org
决 O I-org
赛 O I-org
现 O O
场 O O
世 B-add B-add
纪 I-add I-add
广 I-add I-add
场 I-add I-add
示 O O
意 O O
图 O O


raw: 周一得到的最新消息是奥尔堡医务主管博瓦德（henrikbogvad）最终确认，中后卫彼詹普（
sen pred gold
周 O O
一 O O
得 O O
到 O O
的 O O
最 O O
新 O O
消 O O
息 O O
是 O O
奥 B-org B-pos
尔 I-org I-pos
堡 I-org I-pos
医 B-pos I-pos
务 I-pos I-pos
主 I-pos I-pos
管 I-pos I-pos
博 B-nam B-nam
瓦 I-nam I-nam
德 I-nam I-nam
（ O O
h B-nam B-nam
e I-nam I-nam
n I-nam I-nam
r I-nam I-nam
i I-nam I-nam
k I-nam I-nam
b I-nam I-nam
o I-nam I-nam
g I-nam I-nam
v I-nam I-nam
a I-nam I-nam
d I-nam I-nam
） O O
最 O O
终 O O
确 O O
认 O O
， O O
中 B-pos B-pos
后 I-pos I-pos
卫 I-pos I-pos
彼 B-nam B-nam
詹 I-nam I-nam
普 I-nam I-nam
（ O O


raw: 社区位于京良路南侧，距离京石高速约5公里，从京石高速西三环六里桥到京良路出口仅10余公里。
sen pred gold
社 O O
区 O O
位 O O
于 O O
京 B-add B-add
良 I-add I-add
路 I-add I-add
南 I-add I-add
侧 I-add I-add
， O O
距 O O
离 O O
京 B-add O
石 I-add O
高 I-add O
速 I-add O
约 O O
5 O O
公 O O
里 O O
， O O
从 O O
京 B-add B-add
石 I-add I-add
高 I-add I-add
速 I-add I-add
西 I-add I-add
三 I-add I-add
环 I-add I-add
六 I-add I-add
里 I-add I-add
桥 I-add I-add
到 O I-add
京 B-add I-add
良 I-add I-add
路 I-add I-add
出 I-add I-add
口 I-add I-add
仅 O O
1 O O
0 O O
余 O O
公 O O
里 O O
。 O O


raw: 今日，EAMaxis开发小组一口气公布了四款《孢子》系列新作，它们是《孢子：
sen pred gold
今 O O
日 O O
， O O
e B-com B-com
a I-com I-com
m I-com I-com
a I-com I-com
x I-com I-com
i I-com I-com
s I-com I-com
开 O I-com
发 O I-com
小 O I-com
组 O I-com
一 O O
口 O O
气 O O
公 O O
布 O O
了 O O
四 O O
款 O O
《 B-gam B-gam
孢 I-gam I-gam
子 I-gam I-gam
》 I-gam I-gam
系 O O
列 O O
新 O O
作 O O
， O O
它 O O
们 O O
是 O O
《 B-gam B-gam
孢 I-gam I-gam
子 I-gam I-gam
： I-gam I-gam


raw: 本期足彩出现了4场包括6分球队的比赛，乌迪内斯、沃尔夫斯堡坐镇主场占据优势，加拉塔萨雷客场出战，
sen pred gold
本 O O
期 O O
足 O B-org
彩 O I-org
出 O O
现 O O
了 O O
4 O O
场 O O
包 O O
括 O O
6 O O
分 O O
球 O O
队 O O
的 O O
比 O O
赛 O O
， O O
乌 B-org B-org
迪 I-org I-org
内 I-org I-org
斯 I-org I-org
、 O O
沃 B-org B-org
尔 I-org I-org
夫 I-org I-org
斯 I-org I-org
堡 I-org I-org
坐 O O
镇 O O
主 O O
场 O O
占 O O
据 O O
优 O O
势 O O
， O O
加 B-org B-org
拉 I-org I-org
塔 I-org I-org
萨 I-org I-org
雷 I-org I-org
客 O O
场 O O
出 O O
战 O O
， O O


raw: 卡帕莱的海底世界保证刷新你对海洋的认知，海龟、尼莫鱼、海星、斑点鱼、海狼，仿如一个海底总动员！
sen pred gold
卡 B-sce B-add
帕 I-sce I-add
莱 I-sce I-add
的 O O
海 O O
底 O O
世 O O
界 O O
保 O O
证 O O
刷 O O
新 O O
你 O O
对 O O
海 O O
洋 O O
的 O O
认 O O
知 O O
， O O
海 O O
龟 O O
、 O O
尼 O O
莫 O O
鱼 O O
、 O O
海 O O
星 O O
、 O O
斑 O O
点 O O
鱼 O O
、 O O
海 O O
狼 O O
， O O
仿 O O
如 O O
一 O O
个 O O
海 O O
底 O O
总 O O
动 O O
员 O O
！ O O


raw: 尼日利亚一架海军直升机26日下午在尼南部地区坠毁，机上4人全部丧生。
sen pred gold
尼 B-add O
日 I-add O
利 I-add O
亚 I-add O
一 O O
架 O O
海 B-gov O
军 I-gov O
直 O O
升 O O
机 O O
2 O O
6 O O
日 O O
下 O O
午 O O
在 O O
尼 B-add B-add
南 I-add I-add
部 I-add I-add
地 I-add O
区 I-add O
坠 O O
毁 O O
， O O
机 O O
上 O O
4 O O
人 O O
全 O O
部 O O
丧 O O
生 O O
。 O O


raw: 综合来看平手盘似乎也成为了庄家唯一选择，历史交手多平局，但斯托克至少都能让球，
sen pred gold
综 O O
合 O O
来 O O
看 O O
平 O O
手 O O
盘 O O
似 O O
乎 O O
也 O O
成 O O
为 O O
了 O O
庄 O B-pos
家 O I-pos
唯 O O
一 O O
选 O O
择 O O
， O O
历 O O
史 O O
交 O O
手 O O
多 O O
平 O O
局 O O
， O O
但 O O
斯 B-org B-org
托 I-org I-org
克 I-org I-org
至 O O
少 O O
都 O O
能 O O
让 O O
球 O O
， O O


raw: 贝蒂斯vs西班牙人
sen pred gold
贝 B-nam B-org
蒂 I-nam I-org
斯 I-nam I-org
v O O
s O O
西 B-org B-org
班 I-org I-org
牙 I-org I-org
人 I-org I-org


raw: 塞班岛位于太平洋中心，坐拥着广袤的蔚蓝太平洋，有美丽的七色海岸线和绝美的军舰岛，
sen pred gold
塞 B-sce B-sce
班 I-sce I-sce
岛 I-sce I-sce
位 O O
于 O O
太 B-add B-add
平 I-add I-add
洋 I-add I-add
中 I-add I-add
心 I-add I-add
， O O
坐 O O
拥 O O
着 O O
广 O O
袤 O O
的 O O
蔚 O O
蓝 O O
太 O O
平 O O
洋 O O
， O O
有 O O
美 O O
丽 O O
的 O O
七 O B-sce
色 O I-sce
海 O I-sce
岸 O I-sce
线 O I-sce
和 O O
绝 O O
美 O O
的 O O
军 O B-sce
舰 O I-sce
岛 O I-sce
， O O


raw: 世嘉于今年年初中止了黑曜石负责的《异形》RPG项目，随之而来的裁员行动据称也影响到了《
sen pred gold
世 B-com B-com
嘉 I-com I-com
于 O O
今 O O
年 O O
年 O O
初 O O
中 O O
止 O O
了 O O
黑 B-com O
曜 I-com O
石 I-com O
负 O O
责 O O
的 O O
《 B-gam B-mov
异 I-gam I-mov
形 I-gam I-mov
》 I-gam I-mov
r O O
p O O
g O O
项 O O
目 O O
， O O
随 O O
之 O O
而 O O
来 O O
的 O O
裁 O O
员 O O
行 O O
动 O O
据 O O
称 O O
也 O O
影 O O
响 O O
到 O O
了 O O
《 O O


raw: 记者了解到，这种大规模的迷信活动引起了当地政府的关注。前天下午，戴窑镇政府的相关负责人专门来到现场，
sen pred gold
记 B-pos B-pos
者 I-pos I-pos
了 O O
解 O O
到 O O
， O O
这 O O
种 O O
大 O O
规 O O
模 O O
的 O O
迷 O O
信 O O
活 O O
动 O O
引 O O
起 O O
了 O O
当 O O
地 O O
政 O O
府 O O
的 O O
关 O O
注 O O
。 O O
前 O O
天 O O
下 O O
午 O O
， O O
